학번,학생이름,학과,학년,전화번호,주소
S0001,갈한수,기계공학과,2,090-4407-3262,경북 경산시 사정동 278-1
S0002,강이찬,유전공학과,1,090-4733-4976,경기도 남양주시 별내동 192-23
S0003,개원훈,기계공학과,4,090-4696-8657,광주광역시 북구 일곡동 830-1번지 1층
S0004,경시현,국사학전공,2,090-2669-6066,경기도 이천시 마장면 목리 산13-32
S0005,공동영,물리화학과,3,090-4660-6621,충청북도 진천국 진천읍 읍내리395-7
S0006,기대연,한국역사학과,1,090-3153-8403,인천 서구 경서동 626-8번지
S0007,기원호,국사학전공,1,090-3633-6768,울산 남구 삼산동 1497-1번지 1층
S0008,기은성,심리학과,3,090-6114-7480,경상북도 경주시 천군동 산 30-1 블루월리조트
S0009,나한율,유전공학과,1,090-6819-6025,인천광역시 서구 마전동 909-8 번지
S0010,남동예,영어영문학부,2,090-4674-7619,경기도 용인시 기흥구 언남동 412-4번지
S0011,낭시우,동양역사학과,3,090-4918-6794,수원시 영통구 이의동 1325-3
S0012,내세원,심리학과,4,090-4493-8160,울산광역시 울주군 언양읍 동부리 166번지
S0013,뇌성수,국사학전공,2,090-3885-8875,제주시 이호2동 22번지 S중앙병원
S0014,단수혁,항공공학과,1,090-4879-3913,경기도 김포시 운양동 5705-1
S0015,담성민,물리화학과,2,090-6665-8311,"경남 양산시 물금읍 화합길 37번지 (107,109,110호)"
S0016,담원준,전기전자공학과,2,090-2855-4806,대구광역시 동구 지묘동 192번지 1F
S0017,담장호,역사문화학과,2,090-6445-2804,전남 광주시 북구 신용동 694번지 토담빌딩 1~2F
S0018,독고예준,항공공학과,4,090-6434-6602,경기도 화성시 석우동 31-3번지 1층
S0019,돈송혁,건축공학과,3,090-5451-6104,경기도 수원시 영통구 월드컵로 42번길 광교에일린의뜰 1204동 B113~B115
S0020,돈재현,인공지능 SW학과,4,090-6267-8378,강원도 춘천시 백령도 156번지 강원대병원 1F
S0021,두동환,인공지능 SW학과,4,090-5620-4275,인천시 남동구 논현동 637-2번지 코아루파크 1F?
S0022,두채훈,국사학과,2,090-6566-7227,인천시 남동구 논현동 679-3
S0023,명윤일,역사문화학부,2,090-2645-7606,경기도 안성시 원곡면 산하리 산 68-7
S0024,모재원,심리학과,3,090-5009-5550,경남 김해시 어방동 1088-7
S0025,문은진,역사문화학과,1,090-4786-4279,강원도 속초시 대포동 956-5
S0026,박수혁,상담학과,3,090-8753-6349,"경북 영천시 문외동 38-3번1,2F"
S0027,방윤후,국사학전공,2,090-3885-8793,서울시 구로구 구로동 3-35번지 1F
S0028,방채호,유전공학과,3,090-7725-8377,강원도 동해시 천곡동 1077-3
S0029,배세준,유전공학과,2,090-6839-7498,대구 수성구 수성3가 322-1번지
S0030,배채호,건축공학과,3,090-8079-7869,울산시 울주군 서생면 간절곶해안길 205 울주군특산물판매장 2F
S0031,변재호,컴퓨터공학과,1,090-6930-3705,거제시 장승포동 702-4
