출판사코드,출판사명,대표,전화번호,주소
C0001,21세기북스,갈한수,010-4682-9422,경남 김해시 어방동 1088-7
C0002,ag,강이찬,010-4192-1470,강원도 속초시 대포동 956-5
C0003,Alfred,개원훈,010-3828-3745,경북 영천시 문외동 38-3번
C0004,Angle Books,경시현,010-5736-9613,서울시 구로구 구로동 3-35번지
C0005,any class,공동영,010-6434-2330,강원도 동해시 천곡동 1077-3
C0006,arte,기대연,010-9070-7117,대구 수성구 수성3가 322-1번지
C0007,B612북스,기원호,010-2257-5452,울산시 울주군 서생면 간절곶해안길 205
C0008,BM성안북스,기은성,010-3686-0282,거제시 장승포동 702-4
C0009,BM황금부엉이,나한율,010-4853-5438,경기도 이천시 창전동 166-13번지
C0010,Book Star,남동예,010-6212-1066,경남 밀양시 내일동 649-7
C0011,bookLab,낭시우,010-6673-4105,경기도 파주시 문산읍 문산리 61-35번지
C0012,CABINET,내세원,010-1977-4425,충북 증평군 증평읍 창동리 65번지
C0013,Denstory,뇌성수,010-1758-0839,제주시 연동 1482번지
C0014,Digital Books,단수혁,010-8055-2859,울산시 남구 옥동 143-12
C0015,DSbooks,담성민,010-7270-5520,강원도 속초시 중앙로 150-1
C0016,eduway,담원준,010-6676-6428,전남 나주시 대호동 1029-2
C0017,e비즈북스,담장호,010-4044-2363,경북 구미시 옥계동 840번지
C0018,Garth laboratory,독고예준,010-1048-2234,경기도 이천시 신둔면 용면리 120번지
C0019,J&jj,돈송혁,010-9137-9014,충북 충주시 가금면 용전리 92번지
C0020,mal.lang,돈재현,010-1222-4497,제주특별자치도 서귀포시 대정읍 상모리 133-8 번지
C0021,Raon Book,두동환,010-3069-4123,경기도 파주시 금촌동 987-6번지
C0022,Raonbook,두채훈,010-2525-4657,제주특별자치도 서귀포시 대정읍 상모리 133 번지
C0023,RHK,명윤일,010-3569-2431,서울시 강서구 화곡동 1006-9
C0024,Ritec Contents,모재원,010-2953-3938,서울시 강서구 가양동 1479-9
C0025,SB,문은진,010-9814-9350,인천시 서구 검암동 606-7
C0026,snowfox,박수혁,010-3961-1701,경기도 화성시 능동 445-2
C0027,SOULHOUSE,방윤후,010-1391-4001,경기도 고양시 일산동구 장항동 86
C0028,VB,방채호,010-3597-0541,서울시 관악구 신림동 1640-3
C0029,Weekly Biz Books,배세준,010-5096-7388,경기도 양평군 양평읍 양근리 201-15
C0030,whale books,배채호,010-8324-2258,대구시 동구 율하동 1223
C0031,Winner's book,변재호,010-7748-5382,전북 부안군 변산면 격포리 290-1
C0032,갈매나무,복재민,010-8292-1608,강원도 원주시 행구동 1847-3
C0033,강,복준완,010-2068-9180,충남 아산시 배방읍 복수리 1019
C0034,갤리온,비현호,010-7126-2770,울산시 동구 서부동 113-48
C0035,걷는나무,빈성희,010-9809-5693,경기도 화성시 봉담읍 동화리 113-1번지
C0036,경인엠앤비,사성준,010-8788-6192,경남 창원시 대방동 자양로 136
C0037,경향BP,사원혁,010-2691-2323,서울시 도봉구 쌍문동 45-8
C0038,경향미디어,사원호,010-2610-8201,경남 창원시 진해구 이동 464-2번지
C0039,고즈넉이엔티,삼윤후,010-5403-8749,인천시 연수구 동춘동 926번지
C0040,골프아카데미,삼찬후,010-9915-1295,경북 경주시 성건동 684-9번지
C0041,교양인,석서훈,010-1828-6106,전남 구례군 산동면 좌사리 110-1
C0042,구암,성성율,010-8808-8856,서울시 강북구 미아동 838-4번지
C0043,규장,소대권,010-8598-1898,경기도 성남시 분당구 삼평동 741
C0044,그래비티북스,소윤수,010-1236-0704,경남 김해시 장유면 관동리 1101-1번지
C0045,그리고책,순대영,010-4890-4690,경기도 과천시 막계동 33
C0046,그책,신찬영,010-1612-0506,충남 아산시 배방읍 장래리 1760 
C0047,글누림,심장호,010-3004-0855,광주시 서구 치평동 1223-3
C0048,글담,아동은,010-9257-0554,경기도 파주시 동패동 56
C0049,글항아리,야유신,010-8589-5342,경기도 일산시 서구 대화동 2606
C0050,길벗,양동인,010-8272-8973,광주시 남구 진월동 259번지
C0051,길벗이지톡,양은성,010-3521-7780,부산시 동래구 명륜동 569-12
C0052,길퍼블리싱컴퍼니,어민기,010-2599-4110,전북 김제시 검산동 844
C0053,까치글방,엄은진,010-2008-9468,경기도 용인시 처인구 김량장동 23-1번지
C0054,꿈꾸는지구,여동은,010-3810-0402,충남 천안시 석북구 백석동 878번지
C0055,꿈꾼문고,여민국,010-9263-0275,경기도 수원시 권선구 금곡동 572-5
C0056,꿈의지도,연연재,010-5183-5994,서울시 영등포구 여의도동 23번지
C0057,나라원,옥원준,010-3673-8542,강원도 원주시 문막읍 동화리 113번지
C0058,나무[수,옥채훈,010-1849-4596,서울시 광진구 구의동 611번지
C0059,나무를심는사람들,옹효성,010-1601-6251,충남 공주시 중동 67-3번지
C0060,나무옆의자,운윤태,010-5593-0417,인천시 서구 마전동 621-5
C0061,나무자전거,원성빈,010-1417-1851,울산시 동구 서부동 315-34
C0062,나비의활주로,유민국,010-6349-8862,경기도 수원시 천천동 528-1
C0063,난다,유성율,010-7325-4835,충남 공주시 신관동 191-7번지
C0064,넥서스,유준호,010-6636-1298,경기도 안산시 상록구 본오동 874-11
C0065,넥서스Books,은채혁,010-2758-8380,충남 아산시 탕정면 명암리 931-1
C0066,넥스웍,은현준,010-7749-8973,대전시 서구 도안동 963번지
C0067,놀,이윤진,010-5592-2828,전남 여수시 종화동 470
C0068,다다리더스,전동원,010-8386-0199,인천시 송도 커넬워크 3동
C0069,다른상상,점재민,010-5744-1505,울산시 중구 태화동 593-17
C0070,다산3.0,제갈동연,010-8624-3574,경기도 고양시 일산구 주엽2동 22번지
C0071,다산4.0,제동희,010-1419-1208,경기도 용인시 기흥구 보라동 579-2
C0072,다산북스,제민기,010-3888-8410,부산시 해운대구 좌동 1270-5 103호
C0073,다산책방,제영후,010-8658-7187,경북 경주시 천군동 206-3
C0074,다산초당,제유상,010-5173-7003,경기도 남양주시 별내면 화점리 58-65
C0075,다연,지승현,010-9434-4829,충남 천안시 불당동 아산신도시 222
C0076,다온북스,진대원,010-5266-9628,부산시 연제구 연산동728-1번지
C0077,다차원북스,진대윤,010-4950-5012,경기도 가평군 청평면 대성리 399-103
C0078,달,진동혜,010-3136-4230,대전시 서구 도마동 29-32번지
C0079,담앤북스,진승우,010-4562-7081,인천시 계양구 임학동 67-9
C0080,더난,진승일,010-7940-9108,경기도 수원시 영통구 광교신도시 2-51-1
C0081,더문,진승환,010-5139-0982,인천시 연수구 선학동 406-5번지
C0082,더블북코리아,초시민,010-2151-2533,서울시 동대문구 전농동 30-3
C0083,더숲,초원혁,010-2089-6504,광주시 북구 운암동1044-2번지
C0084,더퀘스트,초재현,010-4988-2458,광주시 서구 금호동 762-5번지
C0085,도화,최장현,010-1925-2251,경북 경주시 북군동 57-24
C0086,동양북스,춘대권,010-7190-6693,충남 부여군 부여읍 구아리 96-4
C0087,동인랑,춘인규,010-1264-5051,경남 진주시 상대동 300-59번지
C0088,두란노서원,춘찬영,010-9822-3260,울산시 중구 옥교동 95
C0089,디스커버리미디어,판한수,010-5837-8755,서울시 종로구 관철동 5-13 1층
C0090,디자인하우스,평윤섭,010-5514-7816,인천시 연수구 동춘동 937-3번지
C0091,디지털북스,풍동해,010-4458-7868,서울시 중구 신당동 140-10 1층
C0092,뜨인돌,피태영,010-8282-7331,경기도 부천 원미구 상동 539-1 4층
C0093,라온북,필영후,010-9278-5758,서울시 서대문구 성산로 250번지
